text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal,text_bigrams,text_trigrams
nangkep bjorka ngakak guling kalo maling ayam saya percayaitu juga butuh waktu berbulan bulan tanpa bantuan siva,"['nangkep', 'bjorka', 'ngakak', 'guling', 'kalo', 'nangkep', 'maling', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'percayaitu', 'butuh', 'berbulan', 'bantuan', 'siva']",nangkep_bjorka bjorka_ngakak ngakak_guling guling_kalo kalo_maling maling_ayam ayam_saya saya_percayaitu percayaitu_juga juga_butuh butuh_waktu waktu_berbulan berbulan_bulan bulan_tanpa tanpa_bantuan bantuan_siva,nangkep_bjorka_ngakak bjorka_ngakak_guling ngakak_guling_kalo guling_kalo_maling kalo_maling_ayam maling_ayam_saya ayam_saya_percayaitu saya_percayaitu_juga percayaitu_juga_butuh juga_butuh_waktu butuh_waktu_berbulan waktu_berbulan_bulan berbulan_bulan_tanpa bulan_tanpa_bantuan tanpa_bantuan_siva
mas nya ini masa juga g bisa mendeteksi bjorkabantu lah polisimereka kan qt tau bekerja,"['mas', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'bekerja']","['ma', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'bekerja']","['ma', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'bekerja']","['ma', 'nya', 'g', 'mendeteksi', 'bjorkabantu', 'polisimereka', 'qt', 'tau', 'g']",mas_nya nya_ini ini_masa masa_juga juga_g g_bisa bisa_mendeteksi mendeteksi_bjorkabantu bjorkabantu_lah lah_polisimereka polisimereka_kan kan_qt qt_tau tau_bekerja,mas_nya_ini nya_ini_masa ini_masa_juga masa_juga_g juga_g_bisa g_bisa_mendeteksi bisa_mendeteksi_bjorkabantu mendeteksi_bjorkabantu_lah bjorkabantu_lah_polisimereka lah_polisimereka_kan polisimereka_kan_qt kan_qt_tau qt_tau_bekerja
kek udah tenang gtu kan gak viral si bjorka ehh tbtb ada berita yg katanya ketangkep asli lagi asik tdur bngun ngakakkkk sambil ngetawain pulisic konoha aja,"['kek', 'udah', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'ketangkep', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulisic', 'konoha', 'aja']","['kek', 'udah', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'ketangkep', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulis', 'konoha', 'aja']","['kek', 'udah', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'ketangkep', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulis', 'konoha', 'aja']","['kek', 'udah', 'tenang', 'gtu', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'berita', 'yg', 'ketangkep', 'asli', 'asik', 'tdur', 'bngun', 'ngakakkkk', 'ngetawain', 'pulis', 'konoha', 'aja']",kek_udah udah_tenang tenang_gtu gtu_kan kan_gak gak_viral viral_si si_bjorka bjorka_ehh ehh_tbtb tbtb_ada ada_berita berita_yg yg_katanya katanya_ketangkep ketangkep_asli asli_lagi lagi_asik asik_tdur tdur_bngun bngun_ngakakkkk ngakakkkk_sambil sambil_ngetawain ngetawain_pulisic pulisic_konoha konoha_aja,kek_udah_tenang udah_tenang_gtu tenang_gtu_kan gtu_kan_gak kan_gak_viral gak_viral_si viral_si_bjorka si_bjorka_ehh bjorka_ehh_tbtb ehh_tbtb_ada tbtb_ada_berita ada_berita_yg berita_yg_katanya yg_katanya_ketangkep katanya_ketangkep_asli ketangkep_asli_lagi asli_lagi_asik lagi_asik_tdur asik_tdur_bngun tdur_bngun_ngakakkkk bngun_ngakakkkk_sambil ngakakkkk_sambil_ngetawain sambil_ngetawain_pulisic ngetawain_pulisic_konoha pulisic_konoha_aja
kalo ngobrol shootnya dua2nya akan lebih dinikmati,"['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'dinikmati']",kalo_ngobrol ngobrol_shootnya shootnya_dua2nya dua2nya_akan akan_lebih lebih_dinikmati,kalo_ngobrol_shootnya ngobrol_shootnya_dua2nya shootnya_dua2nya_akan dua2nya_akan_lebih akan_lebih_dinikmati
passwd admin1234,"['passwd', 'admin1234']","['passwd', 'admin1234']","['passwd', 'admin1234']","['passwd', 'admin1234']",passwd_admin1234,
yg diundang si paling hacker kyk gak ada bintang tamu lain,"['yg', 'diundang', 'si', 'paling', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'bintang', 'tamu']",yg_diundang diundang_si si_paling paling_hacker hacker_kyk kyk_gak gak_ada ada_bintang bintang_tamu tamu_lain,yg_diundang_si diundang_si_paling si_paling_hacker paling_hacker_kyk hacker_kyk_gak kyk_gak_ada gak_ada_bintang ada_bintang_tamu bintang_tamu_lain
volume ny kurng gde om,"['volume', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']",volume_ny ny_kurng kurng_gde gde_om,volume_ny_kurng ny_kurng_gde kurng_gde_om
bjorka update status polisi langsung malu,"['bjorka', 'update', 'status', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']",bjorka_update update_status status_polisi polisi_langsung langsung_malu,bjorka_update_status update_status_polisi status_polisi_langsung polisi_langsung_malu
boro2 nangkep hacker bjorka rakyat minta bantuan aja suruh urus sendiri klo mau bayar baru dproses memalukan,"['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'urus', 'sendiri', 'klo', 'mau', 'bayar', 'baru', 'dproses', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'uru', 'sendiri', 'klo', 'mau', 'bayar', 'baru', 'dprose', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'uru', 'sendiri', 'klo', 'mau', 'bayar', 'baru', 'dprose', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'bantuan', 'aja', 'suruh', 'uru', 'klo', 'bayar', 'dprose', 'memalukan']",boro2_nangkep nangkep_hacker hacker_bjorka bjorka_rakyat rakyat_minta minta_bantuan bantuan_aja aja_suruh suruh_urus urus_sendiri sendiri_klo klo_mau mau_bayar bayar_baru baru_dproses dproses_memalukan,boro2_nangkep_hacker nangkep_hacker_bjorka hacker_bjorka_rakyat bjorka_rakyat_minta rakyat_minta_bantuan minta_bantuan_aja bantuan_aja_suruh aja_suruh_urus suruh_urus_sendiri urus_sendiri_klo sendiri_klo_mau klo_mau_bayar mau_bayar_baru bayar_baru_dproses baru_dproses_memalukan
mungkin bisa jadi analogi yg sama antara influencer dan jurnalis hacker etis non,"['mungkin', 'bisa', 'jadi', 'analogi', 'yg', 'sama', 'antara', 'influencer', 'dan', 'jurnalis', 'hacker', 'etis', 'non', 'etis']","['mungkin', 'bisa', 'jadi', 'analog', 'yg', 'sama', 'antara', 'influenc', 'dan', 'jurnali', 'hacker', 'eti', 'non', 'eti']","['mungkin', 'bisa', 'jadi', 'analog', 'yg', 'sama', 'antara', 'influenc', 'dan', 'jurnali', 'hacker', 'eti', 'non', 'eti']","['analog', 'yg', 'influenc', 'jurnali', 'hacker', 'eti', 'non', 'eti']",mungkin_bisa bisa_jadi jadi_analogi analogi_yg yg_sama sama_antara antara_influencer influencer_dan dan_jurnalis jurnalis_hacker hacker_etis etis_non,mungkin_bisa_jadi bisa_jadi_analogi jadi_analogi_yg analogi_yg_sama yg_sama_antara sama_antara_influencer antara_influencer_dan influencer_dan_jurnalis dan_jurnalis_hacker jurnalis_hacker_etis hacker_etis_non
