,text_cleaned,label
0,rakyat kalau pakai baju bjorka pasti ditangkap polisi,negatif
1,1 kata intel gak akan ngaku klo dia sama seperti hacker bisa saja bjorka salah satu dr kita,netral
2,nih org2 pemerintah tuh masih berfikir rakyatnya kebanyak seumuran mereka kah yang gampang bgt di kibulin buset adek gue smp aja gak percaya bjorka berhasil ketangkep,negatif
3,ini serius gaada yg bela polisi komen isinya mencela semua,negatif
4,jadi kaya pilem the accoutant 1 ama 2,netral
5,1000000 warga indonesia udh tau polisi aku sih no lbh baik tidur,negatif
6,boro2 hacker maling yg udah ketangkep warga aja disuruh lepasin lagi,negatif
7,kan kemaren pernah bahas anak sekolah yang gak mau makan mbg terus dikatain bego sama om nah konten berikutnya toong bermasalah anak2 keracuna dong ya krn apa kl dibahas bearti bakal memecah hubungan dg bapak presiden,netral
8,0 prestasi aparat indo,netral
9,wkwkwk,netral
10,gue percaya lu bang dari pada petugas pemerintah bobroknya sudah ketahuan salah tangkap nya aja ga ada kata minta maaf ke publik mending bubar guna,negatif
11,undang menkeu pak purbaya om ded,netral
12,bjorka akhirnya muncul juga dari jaman dulu udah nunggu dia gen z tau ga,netral
13,tampang lo juga kayak anak punk bro,netral
14,malu maluin institusi yg satu ini ls lebih baik mengundurkan diri polri di tangan mu udah ga ada harga dirinya,negatif
15,polisi konoha mah gaperlu di rendahin emng udah rendah kualitas nya apa lg si termul listyo,negatif
16,pengalihan isu hukum mati koruptor sita aset kasus korupsi laptop nadim mbg masalah minyak dll up,negatif
17,banyak yg punya potensi bagus soal ginian malah di anggurin sama negara pdahal klo gunain baik dan kerjasama bareng mereka imbasnya jg baikskrng giliran udah kecolongan kalang kabut sendirii sok an nangkep s hackeremng lawak kali para polisi tidur ituu,negatif
18,pakai aplikasi lucky patcher auto jadi hacker ngecheat game,netral
19,makanya ada katakata no system is safe,netral
20,keren nih kalau jd ide buat drama di netflix om ded,netral
21,isi podcastnyakaget smwga isasiangikutin it,negatif
22,bjorka nggak bs dikadalin,netral
23,sok2an nangkap bjorka buronan kelas ecek2 kek harun masiku dan siplester aja g bisa eh ini klaim barang bukti nya cmn hp merk realme lagi heckel itu pake pc program linux internet debian jd kedetek ip,negatif
24,om ded ketawa jahat akakakakakak,netral
25,ngapain nyari bjorka judol tuh urusin pak poll,negatif
26,itu udah di kasih kisi nya bjorka adalah anak kebutuhan khusus kayanya maaf cuman analisis aja,netral
27,seperti nya polisi ga mampu tangkap,negatif
28,sungguh memalukan tidak punya malu kalian peliharaan negara muka tembox toll loll kalah cerdas,negatif
29,4930 ketawa bersama wkwk,netral
30,anak punk polisi teu aneh,negatif
31,udah percaya aja itu bjorka biar seneng kita harus apreasiasi kerjaan pemerintah,negatif
32,knp gk ad texk kyak yg lain om,netral
33,agen sedang menginvestigasi dengan mode podcast,netral
34,kasihan yg ketangkep jadi kambing hitam,netral
35,,netral
36,singkat padat yahhh karna selama ini engga ada prestasi kali ya cuaakksss,netral
37,akun judol aja ga tuntas2 wkkw,negatif
38,inh gila y para pemimpin negra kita ga tau gimba caramikir mereka hrus talenta seperti itu di kasih waduh untuk memejukan negri bosss jgn korupsi mulu lu tikus ahk,netral
39,kerenn cara ngmong narasumber nyaa bikin betah dengerinn hebatt mas,netral
40,katanya terus ditangkapyg akurat dong polis duhhhroy suryo bikin gaduh tangkap,netral
41,sudah ku duga,netral
42,bang bug bounty itu sedikit uangnya dah ribet,netral
43,klo menurut saya penipu bank yg tersebut emang dia ditangkap atas nama bjorka make polisi sh ga slah nangkep asli nya mah blom ketangkep,negatif
44,kerasa banget ni sekarang bukan cuman web pemerintah tapi umkm juga tak luput dari sebotase gak jahat si nyisipin kode judol aja tpi bener mereka bisa masuk,negatif
45,saya tau yang diundang om dedy sering muncul di ig,netral
46,ketika anda mensubcribe suatu konten dari youtube pemulamaka tidak sedang membantu rafi ahmad membeli mobil atau rumah mewahtetapi seorang anak yang berjuang untuk mimpinya dan kedua orangtuanyatetap semangat temen youtuber pemula,netral
47,bener aku pernah ngalami telegram itu dibayar sekali habis ga saya lanjutin koruptor baru di plihara oleh 62,netral
48,klo dalam sepak bolapihak kepolisian bagian cyber crime nya udah di kolongin sama bjorkapush up sih harusnya,netral
49,yg di urus hecker giliran korup pada ttup muka semua sampai se pres koar2 tangkap gada bukti,negatif
50,jangan2 yg di undang ini bjorka asli,netral
51,yg di tangkap bukan bjorka tp bjirka,netral
52,google job,netral
53,hebat bisa tau bjorka siapa ya,netral
54,4500 kan ada partai pilih ketum nya pakai evoting om dan tiba2 dalam sekejam si anu yg tadinya kalah bisa melonjak suaranya,netral
55,suka bgt kalo ngobrolnya sm om hacker yg 1 ini dulu aja pernh gw ulang2,netral
56,makanya polri harus rekrut calon yg ketat dan jujur jangan duit,negatif
57,kemaren katanya ada yg mau jual data rakyat ngeriii sih demi apa bisa lengkapin,negatif
58,4949 punya isriwil itu makanya pejabat ga bs berkutik itulah alasan kenapa pendiri apple ms lebih suka bersurat,netral
59,tadi sempat di singgung aplikasi chatting dari indo siapa tahu mau mengundang pembuatnya symbolic id pasti om ded sudah tidak asing dengan,netral
60,gua yg temen nya bjorka belike,netral
61,aku baru aja belajar jd hacker besok mau praktek coba ah hack chanelnya om daddy ijin ya ngetes,netral
62,motor saya hilang lapor ke polisi kek percuma aja seperti formalitas ajaa gak ada solusiiiii,negatif
63,menit 747 suara apa itu,netral
64,masa gak paham sh sandiwara bjorka dia muncul pas kominfo pengajuan anggaran ke dprstelah cair ilangpaham kan artinya apa,negatif
65,bjorka didepanmu om ded,netral
66,byorka kalau dia terus gw siapa,netral
67,narasumber itu adl bjorka sebenarnya,netral
68,orang kita itu lebih milih sadar kalo sudah kejadian sama dirinya bukan belajar dari yg menimpa lain,netral
69,numpang senyum,netral
70,percaya gk percayaada info security cyber pwrbankan di indonesia itu byarany 1m perhari,netral
71,kelihatan bobroknya institusi polisi yg sering salah tangkap,negatif
72,jepang harus lihat potensi indo yg ini,netral
73,segala nangkep hacker nangkap maling motor aja gk dapet,negatif
74,secara gak langsung polisi jelas sangat haus validasi dan pengakuan kroscek sama sekali,negatif
75,makanya pas ada berita penangkapan bjorka kemarin gw langsung ketawa dan 100 ga percaya krn inget dulu yg 2022 penjual es ditangkap diduga,netral
76,wkwkwkwkwkwkwkwkkkkk,netral
77,gak tau ya mungkin selama ini ada prestasi santai tp pedes,netral
78,ini baru orang benarbenar cerdas dia tahu kelemahan masyarakat indonesia yg katanya paling religius dan mudah dikelompokkan masuk ke ranah sensitif otomatis lebih aman dalam berkonten youtube netizent jadi gandrung sama cannel karena sudah ada dijalur mayoritas salut kecerdasan anda,netral
79,malumaluin negara aja institusi coklat,negatif
80,om ded ga bahas tni yang meninggal pas acara hut kasian loh semoga almarhum husnul khotimah,netral
81,bang ded coba undang pace komputer,netral
82,bjorka yg asli lgi ketawa sambil baca berita,netral
83,jangankan bjorka blokir pinjol aja gk bisa,negatif
84,kedepan kalau muncul byorka yg asli maka polisi malu gak yaginian harusnya pemerintah merekrut orang2 ginian bisa membantu sayber pemerintahan untuk membuat keamanan karena orang ini sesungguhnya sangat pintar sistim program,negatif
85,paling suka dengar keterangan dri teguh,netral
86,plot wist nya dia bjorkanya,netral
87,fufufafa aja gak ketangkepgitu mau nangkep bjorka,negatif
88,kalau bukan bjorka berarti yang ketangkep bjirka,netral
89,indonesia kebanyakan di pimpin oleh para boomer yang hidup jaman prasasti makanya susah mau aware masalah teknologi ditambah lagi pola pikir gak maju,netral
90,polisi baca komen2 di sini ketawa gak ya,negatif
91,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
92,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
93,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
94,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
95,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
96,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
97,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
98,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
