,text_cleaned,label
500,rakyat kalau pakai baju bjorka pasti ditangkap polisi,
501,1 kata intel gak akan ngaku klo dia sama seperti hacker bisa saja bjorka salah satu dr kita,
502,nih org2 pemerintah tuh masih berfikir rakyatnya kebanyak seumuran mereka kah yang gampang bgt di kibulin buset adek gue smp aja gak percaya bjorka berhasil ketangkep,
503,ini serius gaada yg bela polisi komen isinya mencela semua,
504,jadi kaya pilem the accoutant 1 ama 2,
505,1000000 warga indonesia udh tau polisi aku sih no lbh baik tidur,
506,boro2 hacker maling yg udah ketangkep warga aja disuruh lepasin lagi,
507,kan kemaren pernah bahas anak sekolah yang gak mau makan mbg terus dikatain bego sama om nah konten berikutnya toong bermasalah anak2 keracuna dong ya krn apa kl dibahas bearti bakal memecah hubungan dg bapak presiden,
508,0 prestasi aparat indo,
509,wkwkwk,
510,gue percaya lu bang dari pada petugas pemerintah bobroknya sudah ketahuan salah tangkap nya aja ga ada kata minta maaf ke publik mending bubar guna,
511,undang menkeu pak purbaya om ded,
512,bjorka akhirnya muncul juga dari jaman dulu udah nunggu dia gen z tau ga,
513,tampang lo juga kayak anak punk bro,
514,malu maluin institusi yg satu ini ls lebih baik mengundurkan diri polri di tangan mu udah ga ada harga dirinya,
515,polisi konoha mah gaperlu di rendahin emng udah rendah kualitas nya apa lg si termul listyo,
516,pengalihan isu hukum mati koruptor sita aset kasus korupsi laptop nadim mbg masalah minyak dll up,
517,banyak yg punya potensi bagus soal ginian malah di anggurin sama negara pdahal klo gunain baik dan kerjasama bareng mereka imbasnya jg baikskrng giliran udah kecolongan kalang kabut sendirii sok an nangkep s hackeremng lawak kali para polisi tidur ituu,
518,pakai aplikasi lucky patcher auto jadi hacker ngecheat game,
519,makanya ada katakata no system is safe,
520,keren nih kalau jd ide buat drama di netflix om ded,
521,isi podcastnyakaget smwga isasiangikutin it,
522,bjorka nggak bs dikadalin,
523,sok2an nangkap bjorka buronan kelas ecek2 kek harun masiku dan siplester aja g bisa eh ini klaim barang bukti nya cmn hp merk realme lagi heckel itu pake pc program linux internet debian jd kedetek ip,
524,om ded ketawa jahat akakakakakak,
525,ngapain nyari bjorka judol tuh urusin pak poll,
526,itu udah di kasih kisi nya bjorka adalah anak kebutuhan khusus kayanya maaf cuman analisis aja,
527,seperti nya polisi ga mampu tangkap,
528,sungguh memalukan tidak punya malu kalian peliharaan negara muka tembox toll loll kalah cerdas,
529,4930 ketawa bersama wkwk,
530,anak punk polisi teu aneh,
531,udah percaya aja itu bjorka biar seneng kita harus apreasiasi kerjaan pemerintah,
532,knp gk ad texk kyak yg lain om,
533,agen sedang menginvestigasi dengan mode podcast,
534,kasihan yg ketangkep jadi kambing hitam,
535,,
536,singkat padat yahhh karna selama ini engga ada prestasi kali ya cuaakksss,
537,akun judol aja ga tuntas2 wkkw,
538,inh gila y para pemimpin negra kita ga tau gimba caramikir mereka hrus talenta seperti itu di kasih waduh untuk memejukan negri bosss jgn korupsi mulu lu tikus ahk,
539,kerenn cara ngmong narasumber nyaa bikin betah dengerinn hebatt mas,
540,katanya terus ditangkapyg akurat dong polis duhhhroy suryo bikin gaduh tangkap,
541,sudah ku duga,
542,bang bug bounty itu sedikit uangnya dah ribet,
543,klo menurut saya penipu bank yg tersebut emang dia ditangkap atas nama bjorka make polisi sh ga slah nangkep asli nya mah blom ketangkep,
544,kerasa banget ni sekarang bukan cuman web pemerintah tapi umkm juga tak luput dari sebotase gak jahat si nyisipin kode judol aja tpi bener mereka bisa masuk,
545,saya tau yang diundang om dedy sering muncul di ig,
546,ketika anda mensubcribe suatu konten dari youtube pemulamaka tidak sedang membantu rafi ahmad membeli mobil atau rumah mewahtetapi seorang anak yang berjuang untuk mimpinya dan kedua orangtuanyatetap semangat temen youtuber pemula,
547,bener aku pernah ngalami telegram itu dibayar sekali habis ga saya lanjutin koruptor baru di plihara oleh 62,
548,klo dalam sepak bolapihak kepolisian bagian cyber crime nya udah di kolongin sama bjorkapush up sih harusnya,
549,yg di urus hecker giliran korup pada ttup muka semua sampai se pres koar2 tangkap gada bukti,
550,jangan2 yg di undang ini bjorka asli,
551,yg di tangkap bukan bjorka tp bjirka,
552,google job,
553,hebat bisa tau bjorka siapa ya,
554,4500 kan ada partai pilih ketum nya pakai evoting om dan tiba2 dalam sekejam si anu yg tadinya kalah bisa melonjak suaranya,
555,suka bgt kalo ngobrolnya sm om hacker yg 1 ini dulu aja pernh gw ulang2,
556,makanya polri harus rekrut calon yg ketat dan jujur jangan duit,
557,kemaren katanya ada yg mau jual data rakyat ngeriii sih demi apa bisa lengkapin,
558,4949 punya isriwil itu makanya pejabat ga bs berkutik itulah alasan kenapa pendiri apple ms lebih suka bersurat,
559,tadi sempat di singgung aplikasi chatting dari indo siapa tahu mau mengundang pembuatnya symbolic id pasti om ded sudah tidak asing dengan,
560,gua yg temen nya bjorka belike,
561,aku baru aja belajar jd hacker besok mau praktek coba ah hack chanelnya om daddy ijin ya ngetes,
562,motor saya hilang lapor ke polisi kek percuma aja seperti formalitas ajaa gak ada solusiiiii,
563,menit 747 suara apa itu,
564,masa gak paham sh sandiwara bjorka dia muncul pas kominfo pengajuan anggaran ke dprstelah cair ilangpaham kan artinya apa,
565,bjorka didepanmu om ded,
566,byorka kalau dia terus gw siapa,
567,narasumber itu adl bjorka sebenarnya,
