text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal
nangkep bjorka ngakak guling guling kalo nangkep maling ayam saya percayaitu juga butuh waktu berbulan bulan tanpa bantuan siva,"['nangkep', 'bjorka', 'ngakak', 'guling', 'guling', 'kalo', 'nangkep', 'maling', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'saya', 'percayaitu', 'juga', 'butuh', 'waktu', 'berbulan', 'bulan', 'tanpa', 'bantuan', 'siva']","['nangkep', 'bjorka', 'ngakak', 'gule', 'gule', 'kalo', 'nangkep', 'male', 'ayam', 'percayaitu', 'butuh', 'berbulan', 'bantuan', 'siva']"
mas nya ini masa juga g bisa mendeteksi bjorkabantu lah polisimereka kan qt tau g bisa bekerja,"['mas', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'g', 'bisa', 'bekerja']","['ma', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'g', 'bisa', 'bekerja']","['ma', 'nya', 'ini', 'masa', 'juga', 'g', 'bisa', 'mendeteksi', 'bjorkabantu', 'lah', 'polisimereka', 'kan', 'qt', 'tau', 'g', 'bisa', 'bekerja']","['ma', 'nya', 'g', 'mendeteksi', 'bjorkabantu', 'polisimereka', 'qt', 'tau', 'g']"
kek udah tenang tenang gtu kan gak viral si bjorka ehh tbtb ada berita yg katanya bjorka ketangkep si bjorka asli lagi asik tdur bngun bngun ngakakkkk sambil ngetawain pulisic konoha ada ada aja,"['kek', 'udah', 'tenang', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'bjorka', 'ketangkep', 'si', 'bjorka', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulisic', 'konoha', 'ada', 'ada', 'aja']","['kek', 'udah', 'tenang', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'bjorka', 'ketangkep', 'si', 'bjorka', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulis', 'konoha', 'ada', 'ada', 'aja']","['kek', 'udah', 'tenang', 'tenang', 'gtu', 'kan', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'ada', 'berita', 'yg', 'katanya', 'bjorka', 'ketangkep', 'si', 'bjorka', 'asli', 'lagi', 'asik', 'tdur', 'bngun', 'bngun', 'ngakakkkk', 'sambil', 'ngetawain', 'pulis', 'konoha', 'ada', 'ada', 'aja']","['kek', 'udah', 'tenang', 'tenang', 'gtu', 'gak', 'viral', 'si', 'bjorka', 'ehh', 'tbtb', 'berita', 'yg', 'bjorka', 'ketangkep', 'si', 'bjorka', 'asli', 'asik', 'tdur', 'bngun', 'bngun', 'ngakakkkk', 'ngetawain', 'pulis', 'konoha', 'aja']"
kalo ngobrol shootnya dua2nya akan lebih dinikmati,"['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'akan', 'lebih', 'dinikmati']","['kalo', 'ngobrol', 'shootnya', 'dua2nya', 'dinikmati']"
passwd admin1234,"['passwd', 'admin1234']","['passwd', 'admin1234']","['passwd', 'admin1234']","['passwd', 'admin1234']"
yg diundang si paling hacker kyk gak ada bintang tamu lain,"['yg', 'diundang', 'si', 'paling', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'ada', 'bintang', 'tamu', 'lain']","['yg', 'diundang', 'si', 'pale', 'hacker', 'kyk', 'gak', 'bintang', 'tamu']"
volume ny kurng gde om,"['volume', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']","['volum', 'ny', 'kurng', 'gde', 'om']"
bjorka update status polisi langsung malu,"['bjorka', 'update', 'status', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']","['bjorka', 'updat', 'statu', 'polisi', 'langsung', 'malu']"
boro2 nangkep hacker bjorka rakyat minta bantuan aja suruh urus sendiri klo mau suruh bayar baru dproses memalukan,"['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'urus', 'sendiri', 'klo', 'mau', 'suruh', 'bayar', 'baru', 'dproses', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'uru', 'sendiri', 'klo', 'mau', 'suruh', 'bayar', 'baru', 'dprose', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'minta', 'bantuan', 'aja', 'suruh', 'uru', 'sendiri', 'klo', 'mau', 'suruh', 'bayar', 'baru', 'dprose', 'memalukan']","['boro2', 'nangkep', 'hacker', 'bjorka', 'rakyat', 'bantuan', 'aja', 'suruh', 'uru', 'klo', 'suruh', 'bayar', 'dprose', 'memalukan']"
mungkin bisa jadi analogi yg sama antara influencer dan jurnalis hacker etis dan non etis,"['mungkin', 'bisa', 'jadi', 'analogi', 'yg', 'sama', 'antara', 'influencer', 'dan', 'jurnalis', 'hacker', 'etis', 'dan', 'non', 'etis']","['mungkin', 'bisa', 'jadi', 'analog', 'yg', 'sama', 'antara', 'influenc', 'dan', 'jurnali', 'hacker', 'eti', 'dan', 'non', 'eti']","['mungkin', 'bisa', 'jadi', 'analog', 'yg', 'sama', 'antara', 'influenc', 'dan', 'jurnali', 'hacker', 'eti', 'dan', 'non', 'eti']","['analog', 'yg', 'influenc', 'jurnali', 'hacker', 'eti', 'non', 'eti']"
polisi indonesia banyak yang bodoh salah tangkap orang,"['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'bodoh', 'salah', 'tangkap', 'orang']"
daging semua makasih edukasi nya om,"['daging', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'makasih', 'edukasi', 'nya', 'om']"
nangkip si plonga plongo kayak fufufafa aja kagak becus ewkkwkwkkw,"['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becus', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']"
wow cyber indonesia di sepelei sama ini orang,"['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'sepelei', 'orang']"
kerja polisi kita apa sih serius gw nanya,"['kerja', 'polisi', 'kita', 'apa', 'sih', 'serius', 'gw', 'nanya']","['kerja', 'polisi', 'kita', 'apa', 'sih', 'seriu', 'gw', 'nanya']","['kerja', 'polisi', 'kita', 'apa', 'sih', 'seriu', 'gw', 'nanya']","['kerja', 'polisi', 'sih', 'seriu', 'gw', 'nanya']"
alangkah pintarnya anakanak indonesia tapiyang jadi wakil presiden oon di dukung lagi dengan yang punya cenel ini teganya jerumuskan negara indonesia,"['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'wakil', 'presiden', 'oon', 'dukung', 'cenel', 'teganya', 'jerumuskan', 'negara', 'indonesia']"
kang palak di parkiran aja ga ke tangkepdah jelas tuapa lagi yg ginian,"['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jelas', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jela', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jela', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'parkiran', 'aja', 'ga', 'tangkepdah', 'jela', 'tuapa', 'yg', 'ginian']"
our duke is exist or non exist either ghost or alive no one can defeat duke,"['our', 'duke', 'is', 'exist', 'or', 'non', 'exist', 'either', 'ghost', 'or', 'alive', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'exist', 'either', 'ghost', 'or', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'exist', 'either', 'ghost', 'or', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'exist', 'either', 'ghost', 'or', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']"
sudomaster watch this podcast another meme of whistleblower regard duke another self claimer meme,"['sudomaster', 'watch', 'this', 'podcast', 'another', 'meme', 'of', 'whistleblower', 'regard', 'duke', 'another', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'anoth', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'anoth', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'anoth', 'self', 'claimer', 'meme']"
908 gw pernah kena 8 jt anjr,"['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'kena', '8', 'jt', 'anjr']"
gua berharap bjorka buat twit tentang kejadian ini klo dia punya waktu,"['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'twit', 'kejadian', 'klo']"
plot twist bintang tamu bjorka,"['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']"
kata gen z cybereskrim afk,"['kata', 'gen', 'z', 'cybereskrim', 'afk']","['kata', 'gen', 'z', 'cybereskrim', 'afk']","['kata', 'gen', 'z', 'cybereskrim', 'afk']","['gen', 'z', 'cybereskrim', 'afk']"
waduh akun ml gua namanya bjorka lagi di tangkap ga yah gua kira kira gua,"['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'gua', 'kira', 'kira', 'gua']","['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'gua', 'kira', 'kira', 'gua']","['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'gua', 'kira', 'kira', 'gua']","['akun', 'ml', 'gua', 'namanya', 'bjorka', 'tangkap', 'ga', 'yah', 'gua', 'gua']"
