channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Setuju sama pemikiran kang Dedi beda sm pejabat yg lain yg cm mikirin bisnis aja,Setuju sama pemikiran kang Dedi beda sm pejabat yg lain yg cm mikirin bisnis aja,@bayu_bennington,https://yt3.ggpht.com/NqGDP3CL1S1Wkx0XAsTy4j9ljYpK0QeX5M_WcrZ70wUJCevI7L_x1lExsg_-7mhwccqcv9D7Sg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@bayu_bennington,{'value': 'UCI2v12LP8nsZ2e1Kau57u4w'},True,none,0,2025-12-20T13:36:04Z,2025-12-20T13:36:04Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"Bang emok atau KOSIPA <br>maaf ya ,, itu datang nya dari orang Medan dan sudah dari tahun 90 an bahkan saya merasa itu melilit dan menjerumuskan warga ke dalam hutang piutang dan membunuh usaha kecilnya","Bang emok atau KOSIPA 
maaf ya ,, itu datang nya dari orang Medan dan sudah dari tahun 90 an bahkan saya merasa itu melilit dan menjerumuskan warga ke dalam hutang piutang dan membunuh usaha kecilnya",@sendyhendrajaya835,https://yt3.ggpht.com/ytc/AIdro_nnDDLjm5GF31Hc-gorATRb1QxnomrpNGdFTYEFxBA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sendyhendrajaya835,{'value': 'UCulWuZ5tFLaOeC8_D02XPlA'},True,none,0,2025-12-19T19:43:11Z,2025-12-19T19:43:11Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,pengen bgt ketemu bapa aing yg di sebut2 kang dedi mulyadi gubernur Jawa Barat yg ber hati mulia dengan orang2 miskin atas kebaikan nya benar-benar iklas untuk membantu orang2 yg butuh sehat2 slalu iya pak Tuhan Yesus Kristus memberkati di setiap kinerja bapa di lapangan baik itu untuk rakyat jabar bapa aing.. 🙏🙏🙏,pengen bgt ketemu bapa aing yg di sebut2 kang dedi mulyadi gubernur Jawa Barat yg ber hati mulia dengan orang2 miskin atas kebaikan nya benar-benar iklas untuk membantu orang2 yg butuh sehat2 slalu iya pak Tuhan Yesus Kristus memberkati di setiap kinerja bapa di lapangan baik itu untuk rakyat jabar bapa aing.. 🙏🙏🙏,@HisarSinaga-u9j,https://yt3.ggpht.com/ytc/AIdro_lIVZruWSvlKaxkn57-rQU_C05R3t9jAWHU60AtJYLV6jMdWWwFgedf-dP7oDI9GjrVqw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HisarSinaga-u9j,{'value': 'UCzio45vGn6mcdXnCXRtIWDw'},True,none,0,2025-12-19T18:30:39Z,2025-12-19T18:30:39Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Kang dedi bawa anak saya kebarak😂😂 gk nurut sm ibunya slalu melawan trus 🤦‍♀️,Kang dedi bawa anak saya kebarak😂😂 gk nurut sm ibunya slalu melawan trus 🤦‍♀️,@NitaNurfahmi,https://yt3.ggpht.com/Wrnp-2qQzG_uIefrGBIn5XCJSA_PXURlF4tQKZUGrLsu381EX6dBFieOIH-2zWLRqqK-UbJ6Ug=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@NitaNurfahmi,{'value': 'UC_voLqG1p14700DFRfPdA3w'},True,none,0,2025-12-19T13:44:22Z,2025-12-19T13:44:22Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Mustinya ada wajib military utk ANAK Indonesia sejak usia remaja.utk menerapkan disciplinary PDHL mereka,Mustinya ada wajib military utk ANAK Indonesia sejak usia remaja.utk menerapkan disciplinary PDHL mereka,@carlmac0,https://yt3.ggpht.com/ytc/AIdro_nEm-Wtl4JCEcIumuF0epDBkQts9pq-d7JHmT7fqNssA2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carlmac0,{'value': 'UCUTgQy4FLp9RkTj0VsRQMOA'},True,none,0,2025-12-19T00:28:50Z,2025-12-19T00:28:50Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Duo Daddy (Dedi) dengan professi berbeda,Duo Daddy (Dedi) dengan professi berbeda,@RizzM4,https://yt3.ggpht.com/-zwLsf9PkMfK7CzlejAJrYlZLFrDAxTI9ei_Le7lXnxM-eomCoyHirxO2q2urYphlpnDRaUV=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RizzM4,{'value': 'UCNHcCYEixKzf6dPV_ISTeTQ'},True,none,0,2025-12-18T15:07:36Z,2025-12-18T15:07:36Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Saya sebagai warga Banten. Saya bangga sama kang Dedi sangat dekat dengan rakyat,Saya sebagai warga Banten. Saya bangga sama kang Dedi sangat dekat dengan rakyat,@Pudin89,https://yt3.ggpht.com/MVy1ZPTPQt0fvDK5N98OfomcnKu_njNOOJ4PA41wpwm92-Tmr3nxHXtyCEREVEppoqHRJslZFg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Pudin89,{'value': 'UCg-uxcBWc2ralTev9-LIAEA'},True,none,0,2025-12-18T14:27:41Z,2025-12-18T14:27:41Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,CERDASSSSS<br>BERPIKIR HOLISTIK....<br>YA KDM....<br>NYI HYANG KAK ULFA PASTI BANGGA PADA AYAHNYA ❤❤❤❤,"CERDASSSSS
BERPIKIR HOLISTIK....
YA KDM....
NYI HYANG KAK ULFA PASTI BANGGA PADA AYAHNYA ❤❤❤❤",@GraciaEnjelika,https://yt3.ggpht.com/ytc/AIdro_lTjWu-3Nr3rnVWW3pjtTt92B02C81EFsYtH532LAAnVfdL_xLvCVos3GLgui6Fba6opw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@GraciaEnjelika,{'value': 'UCVUzumebkzA_Rfdxtpj1vNg'},True,none,0,2025-12-18T09:26:08Z,2025-12-18T09:26:08Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,Sorry ya bung Deddy komentar2 dan pertanyaan2nya  dan tertawanya mengganggu banget... <br>Kalau ga pengen banget denger omongannya Kang Dedi M yg isinya daging...males lho lanjut dengerinnya,"Sorry ya bung Deddy komentar2 dan pertanyaan2nya  dan tertawanya mengganggu banget... 
Kalau ga pengen banget denger omongannya Kang Dedi M yg isinya daging...males lho lanjut dengerinnya",@evasugiartim5295,https://yt3.ggpht.com/ytc/AIdro_lZ3vPVdDz5B4yqhsf6HGoITxI5-c7CSzc6RWYpPqI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@evasugiartim5295,{'value': 'UCaRI48OX17SH8BUToYc7nxw'},True,none,0,2025-12-18T04:52:20Z,2025-12-18T04:52:20Z
UCYk4LJI0Pr6RBDWowMm-KUw,Ud_qtYAgbfM,"semenjak di tiadakan kirim ke barak, banyak lg yg pada tauran","semenjak di tiadakan kirim ke barak, banyak lg yg pada tauran",@FathurRizky-h4g,https://yt3.ggpht.com/TCcUIBf_vdpBmvu_VKFHHNV-Qw9NbeMzrR8-x_IPkvfDOacsJnKaxrrdBa3hEcMDNAp4J6sOug=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@FathurRizky-h4g,{'value': 'UCxTS5MIRDXn4LNzd4vYzcxw'},True,none,0,2025-12-18T03:02:25Z,2025-12-18T03:02:25Z
